Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,FT_Result,HomeTeam_Elo,AwayTeam_Elo,Home_Strength,Away_Strength,H2H_Home_Wins,H2H_Away_Wins,H2H_Draws,Home_vs_Away_Wins,Home_vs_Away_Draws,Home_vs_Away_Avg_Goals,H2H_Avg_Home_Goals,H2H_Avg_Away_Goals,Home_Team_Rank,Away_Team_Rank
1993-09-18,1993,Tottenham,Oldham,5,0,H,1,1523.6189294255612,1444.8211635752245,296.12054120396886,-902.047738385115,0,0,0,0,0,0,5.0,0.0,15,21
1993-09-18,1993,Blackburn,West Ham,0,2,A,-1,1522.6358039120635,1478.002046132956,890.1351016714734,-318.98266698689633,0,0,0,0,0,0,2.074074074074074,1.0,2,13
1993-09-18,1993,Leeds,Sheffield United,2,1,H,1,1514.6895434145022,1474.2581570908696,-336.15868307937683,-309.5535058511107,0,0,0,0,0,0,1.3333333333333333,1.3333333333333333,5,20
1993-09-18,1993,Swindon,Newcastle,2,2,D,0,1436.3424450755338,1505.004451919467,-897.5567634379019,594.5872488523707,0,0,0,0,0,0,2.0,2.0,22,3
1993-09-18,1993,Sheffield Weds,Southampton,2,0,H,1,1462.1498354695304,1418.3819053967973,-902.3838019520806,-921.6686856710409,0,0,0,0,0,0,1.1538461538461537,0.9230769230769231,7,18
1993-09-18,1993,Coventry,Chelsea,1,1,D,0,1535.728160375215,1508.0051837663702,304.50634995568123,295.19966418834576,0,0,0,0,0,0,2.2666666666666666,1.2666666666666666,11,14
1993-09-18,1993,Ipswich,Aston Villa,1,2,A,-1,1495.2441875734876,1544.7502095861323,-323.5636358454284,293.34674246020705,0,0,0,0,0,0,1.0,1.0,19,10
1993-09-18,1993,Everton,Liverpool,2,0,H,1,1524.4524729624547,1492.7718595745332,-324.60741724492664,-335.80296437448453,0,0,0,0,0,0,1.2950819672131149,0.9672131147540983,17,9
1993-09-19,1993,Man United,Arsenal,1,0,H,1,1562.6285155823193,1542.5302642141116,582.5483526474518,1195.2243867223453,0,0,0,0,0,0,1.6451612903225807,0.9516129032258065,1,4
1993-09-20,1993,Wimbledon,Man City,1,0,H,1,1539.6196881177295,1477.8972804588038,290.7898813102914,-24.425848650375656,0,0,0,0,0,0,1.2,0.2,6,16
